Nstations,ETime,sdTime,lbTime,ubTime,ETimeM4,ETimeM12,ETimeM36
281,104.6972986,70.59947602,20.35945194,210.1609897,60.20793334,37.25048108,41.35968624
282,105.2669657,70.94002114,20.37438564,209.792587,60.5926075,37.47467957,41.4863363
283,105.7387478,70.9351514,21.04490358,211.4336857,60.89009855,37.58731692,41.55171589
284,106.4607231,71.53995845,20.37760476,213.0647646,61.14348282,37.6249482,41.7053474
285,106.1877579,71.60708723,21.21950552,212.7603635,60.87230549,37.48478971,41.51826944
286,106.2361589,71.53317333,21.46156887,213.0189191,60.82366756,37.60307354,41.55972006
287,107.4159708,71.98742726,21.06247167,213.9399677,61.12388182,37.70249027,41.83185658
288,107.7433492,72.14229954,21.31669274,214.0381804,61.31780904,37.86020375,41.81011107
289,107.9434436,72.66884445,20.50272494,214.5077944,61.28660166,37.71380279,41.78008325
290,106.1030058,71.82701489,20.65699675,212.0743617,60.66000118,37.45938035,41.26865272
291,108.47384,72.94780407,20.77136746,216.9694802,61.81279996,37.69676287,41.83288024
292,107.7644085,72.69924855,21.53819339,216.5825765,61.61416508,37.69348054,41.62277897
293,108.587367,72.23749771,21.34123283,214.9277617,61.69637129,37.80244796,41.77995509
294,109.4131146,72.63435009,22.06915323,217.7245098,62.03167623,37.90233118,41.93796296
295,108.5043837,72.68411678,21.57153724,216.3658071,61.93824059,37.79995896,41.6198215
296,108.2814916,73.28585117,21.24898102,218.8652518,61.70654896,37.72175026,41.4598887
297,108.8503565,72.81112392,21.1910228,216.8081913,61.98255534,37.78948802,41.53591511
298,108.6445987,73.03414475,21.45158658,215.9530134,61.9495692,37.68708328,41.40694019
299,108.9612484,73.22864669,21.10847295,217.6211737,62.08451035,37.73622234,41.51439225
300,110.0237865,73.86128745,21.651488,220.3264674,62.33067674,37.85339371,41.69055242
301,109.9582219,73.99287136,21.45972442,219.7733118,62.41604383,37.84894028,41.59732911
302,110.2536742,74.46265722,21.28319587,221.452015,62.13869045,37.81284511,41.61710861
303,110.7995233,74.08540758,22.00913295,220.6876273,62.82020231,38.03763368,41.78100356
304,110.0812435,74.83706211,21.42962948,222.1914897,62.12710187,37.87593644,41.4549589
305,109.7734235,74.25077973,21.65220107,219.876691,62.30829225,37.73904979,41.2822081
306,111.2656081,75.19220367,21.56390703,224.5467268,62.47292888,38.04189996,41.68987703
307,110.7266845,75.18715762,21.13670714,223.8157598,62.51176956,37.91522673,41.45502209
308,111.2016607,75.09817462,21.06411715,223.18454,62.39209449,37.83917508,41.52511167
309,112.1506452,75.58258791,21.03267986,223.8650853,63.07768774,38.08766887,41.75920097
310,111.0148285,74.91654719,20.94191925,223.2005519,62.73951375,37.82190493,41.33802583
311,111.6993657,75.66400399,21.10814057,224.7386141,62.95670352,37.91301887,41.47102697
312,111.2126261,75.27315456,21.22179584,222.167874,62.68644684,37.85561206,41.29335712
313,111.2370511,75.28243658,21.6558032,222.7679991,62.80741828,37.85771567,41.24785563
314,111.8553683,75.68816015,21.71898518,224.44256,63.2460413,37.92130573,41.35032879
